dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
SH,Shanghai,28,他去过上海，我没有去过。,伊上海去过勒，我呒没去过,,ɦi zɑ̃ he tɕˈi ku ləʔ ŋo ɦm̩ məʔ tɕˈi ku,ɦi13 zɑ̃13-22 he35-44 tɕˈi35-33 ku35-55 ləʔ1-21 ŋo13 ɦm̩13-22 məʔ1-44 tɕˈi35-33 ku35-44,ɦi zɑ̃ he t͡ɕʰi ku ləʔ ŋo ɦm̩ məʔ t͡ɕʰi ku,ɦi13 zɑ̃13-22 he35-44 t͡ɕʰi35-33 ku35-55 ləʔ1-21 ŋo13 ɦm̩13-22 məʔ1-44 t͡ɕʰi35-33 ku35-44
SH,Shanghai,29,来闻闻这朵花香不香。,来闻闻看搿朵花香浌,,le məŋ məŋ kˈø gəʔ tu ho ɕiã vaʔ,le13 məŋ13-22 məŋ13-55 kˈø35-21 gəʔ1-1 tu35-23 ho53 ɕiã53-55 vaʔ1-21,le məŋ məŋ kʰø gəʔ tu ho ɕiã vaʔ,le13 məŋ13-22 məŋ13-55 kʰø35-21 gəʔ1-1 tu35-23 ho53 ɕiã53-55 vaʔ1-21
SH,Shanghai,30,给我一本书。,拨我一本书,,pəʔ ŋo iɪʔ pəŋ sɿ,pəʔ5-4 ŋo13 iɪʔ5-3 pəŋ13-44 sɿ53,pəʔ ŋo iɪʔ pəŋ sɹ̩,pəʔ5-4 ŋo13 iɪʔ5-3 pəŋ13-44 sɹ̩53
SH,Shanghai,31,我真的没有那本书呀。,我真个呒没书,,ŋo tsəŋ ɦə ɦm̩ məʔ sɿ,ŋo13 tsəŋ53-55 ɦə13-21 ɦm̩13-22 məʔ1-44 sɿ53,ŋo t͡səŋ ɦə ɦm̩ məʔ sɹ̩,ŋo13 t͡səŋ53-55 ɦə13-21 ɦm̩13-22 məʔ1-44 sɹ̩53
SH,Shanghai,32,你告诉他。,侬脱伊讲,,noŋ tˈəʔ ɦi kɑ̃,noŋ13 tˈəʔ5-3 ɦi13-44 kɑ̃35,noŋ tʰəʔ ɦi kɑ̃,noŋ13 tʰəʔ5-3 ɦi13-44 kɑ̃35
SH,Shanghai,33,好好地走，不要跑。,好好叫走，勿要奔,,ɦɔ ɦɔ tɕiɔ tsɤ vəʔ iɔ pəŋ,ɦɔ35-22 ɦɔ35-55 tɕiɔ35-21 tsɤ35 vəʔ1-1 iɔ35-23 pəŋ53,ɦɔ ɦɔ t͡ɕiɔ t͡sɤ vəʔ iɔ pəŋ,ɦɔ35-22 ɦɔ35-55 t͡ɕiɔ35-21 t͡sɤ35 vəʔ1-1 iɔ35-23 pəŋ53
SH,Shanghai,34,小心跌下去爬不上来。,当心掼下去爬也爬勿上来,,tɑ̃ ɕiŋ gue ɦo tɕˈi bo ɦa bo vəʔ zɑ̃ le,tɑ̃53-55 ɕiŋ53-21 gue13-22 ɦo13-55 tɕˈi35-21 bo13 ɦa13 bo13-22 vəʔ1-55 zɑ̃13-33 le13-21,tɑ̃ ɕiŋ gue ɦo t͡ɕʰi bo ɦa bo vəʔ zɑ̃ le,tɑ̃53-55 ɕiŋ53-21 gue13-22 ɦo13-55 t͡ɕʰi35-21 bo13 ɦa13 bo13-22 vəʔ1-55 zɑ̃13-33 le13-21
SH,Shanghai,35,医生叫你多睡睡。,医生叫侬多睏睏,,i sã tɕiɔ noŋ tu kuəŋ kuəŋ,i53-55 sã53-21 tɕiɔ35-33 noŋ13-44 tu13 kuəŋ35-33 kuəŋ35-44,i sã t͡ɕiɔ noŋ tu kuəŋ kuəŋ,i53-55 sã53-21 t͡ɕiɔ35-33 noŋ13-44 tu13 kuəŋ35-33 kuəŋ35-44
SH,Shanghai,36,抽烟或者喝茶都不许。,吃香烟吃茶侪勿好个,,tɕˈiɪʔ ɕiã i tɕˈiɪʔ zo ze vəʔ hɔ ɦə,tɕˈiɪʔ5-4 ɕiã53-55 i53-21 tɕˈiɪʔ5-4 zo13 ze13 vəʔ1-1 hɔ35-23 ɦə13-21,t͡ɕʰiɪʔ ɕiã i t͡ɕʰiɪʔ zo ze vəʔ hɔ ɦə,t͡ɕʰiɪʔ5-4 ɕiã53-55 i53-21 t͡ɕʰiɪʔ5-4 zo13 ze13 vəʔ1-1 hɔ35-23 ɦə13-21
SH,Shanghai,37,烟也好，茶也好，我都不喜欢。,烟咾，茶咾我侪勿欢喜,,i lɔ zo lɔ ŋo ze vəʔ huø ɕi,i53-55 lɔ13 zo13-33 lɔ13 ŋo13 ze13 vəʔ1-3 huø53-35 ɕi35-21,i lɔ zo lɔ ŋo ze vəʔ huø ɕi,i53-55 lɔ13 zo13-33 lɔ13 ŋo13 ze13 vəʔ1-3 huø53-35 ɕi35-21
SH,Shanghai,38,不管你去不去，反正我是要去的。,勿管侬去勿去，反正我是要去个,,vəʔ kuø noŋ tɕˈi vəʔ tɕˈi fe tsəŋ ŋo zɿ iɔ tɕˈi ɦə,vəʔ1-1 kuø35-23 noŋ13 tɕˈi35-33 vəʔ1-55 tɕˈi35-21 fe35-33 tsəŋ35-44 ŋo35-33 zɿ13 iɔ35-44 tɕˈi35 ɦə13-21,vəʔ kuø noŋ t͡ɕʰi vəʔ t͡ɕʰi fe t͡səŋ ŋo zɹ̩ iɔ t͡ɕʰi ɦə,vəʔ1-1 kuø35-23 noŋ13 t͡ɕʰi35-33 vəʔ1-55 t͡ɕʰi35-21 fe35-33 t͡səŋ35-44 ŋo35-33 zɹ̩13 iɔ35-44 t͡ɕʰi35 ɦə13-21
SH,Shanghai,39,我非去不可。,我是一定要去个,,ŋo zɿ iɪʔ diŋ iɔ tɕˈi ɦəʔ,ŋo13-33 zɿ13 iɪʔ5-3 diŋ13-44 iɔ35-44 tɕˈi35 ɦəʔ13-21,ŋo zɹ̩ iɪʔ diŋ iɔ t͡ɕʰi ɦəʔ,ŋo13-33 zɹ̩13 iɪʔ5-3 diŋ13-44 iɔ35-44 t͡ɕʰi35 ɦəʔ13-21
SH,Shanghai,40,你是哪一年来的?,侬是鞋里一年来个,,noŋ zɿ ɦa li iɪʔ ȵi le ɦəʔ,noŋ13-33 zɿ13 ɦa13-22 li13-55 iɪʔ5-33 ȵi13-21 le13 ɦəʔ1-21,noŋ zɹ̩ ɦa li iɪʔ ɲi le ɦəʔ,noŋ13-33 zɹ̩13 ɦa13-22 li13-55 iɪʔ5-33 ɲi13-21 le13 ɦəʔ1-21
SH,Shanghai,41,我是前年到的北京。,我是前年到北京个,,ŋo zɿ ʑi ȵi tɔ poʔ tɕiŋ ɦəʔ,ŋo13-33 zɿ13 ʑi13-22 ȵi13-44 tɔ35 poʔ5-3 tɕiŋ53-44 ɦəʔ1-21,ŋo zɹ̩ ʑi ɲi tɔ poʔ t͡ɕiŋ ɦəʔ,ŋo13-33 zɹ̩13 ʑi13-22 ɲi13-44 tɔ35 poʔ5-3 t͡ɕiŋ53-44 ɦəʔ1-21
SH,Shanghai,42,今天开会谁的主席?,今朝开会啥人做主席,,tɕiuŋ tsɔ kˈe ɦue sa ȵiŋ tsu tsɿ ʑiɪʔ,tɕiuŋ53-55 tsɔ35-21 kˈe35-44 ɦue13 sa35-33 ȵiŋ13-44 tsu35 tsɿ35-33 ʑiɪʔ1-44,t͡ɕiuŋ t͡sɔ kʰe ɦue sa ɲiŋ t͡su t͡sɹ̩ ʑiɪʔ,t͡ɕiuŋ53-55 t͡sɔ35-21 kʰe35-44 ɦue13 sa35-33 ɲiŋ13-44 t͡su35 t͡sɹ̩35-33 ʑiɪʔ1-44
