beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
po kə̃r,tɕin tsɿ,tɕiaŋ ken,dei tɕin,pɤ tsɿ,lɔ tɕin pa,po tsɿ,pə tsɿ,kiaŋ kin,tɕiɑŋ,pʌʔ tsʌʔ,dɤ tɕiŋ,am,am kun,paʔ tsəʔ,po tsɿ,dɤu tɕaŋ,tɕin kˈuaŋ,pɤ tsɿ,po xaŋ,kɛŋ,tɕian kən,pɔ pã
tsuo ʂou,tso səu,tso səu,tɕi sei,tsuo ʂou,tsʊ ʂɯ,tso ʂəu,tsuə ʂou,tso su,tso sɨu,tɕiE ʂəu,tsu sɤ,to tsˈiu,to tsˈiu,tsuɤ səu,tsuo sou,tsei ɕɤu,suo səu,tsuɤ ʂɤu,tsuo ʂou,tsɔ sɐu,tso ʂəɯ,tsu ʂɯ
iou ʂou,iəu səu,iəu səu,zɥen sei,iou ʂou,iɯ ʂɯ,iəu ʂəu,iou ʂou,iu su,iu sɨu,tʂʅ ʂəu,ɦiɤ sɤ,tsiã tsˈiu,tsiã tsˈiu,tsəŋ səu,iou sou,joŋ ɕɤu,iəu səu,iɤu ʂɤu,iou ʂou,jɐu sɐu,iəɯ ʂəɯ,iɯ ʂɯ
tɕˈyan tˈou,tin tsɿ,tin tsɿ,dzɥõ dei,tɕˈyan tˈou,tɕˈyɪ̃ tˈɯ,tʂˈuei tˈəu,pfˈei tˈou,kˈian tˈeu,tɕˈyɵn tˈɛu,kʌʔ tu,dʑyø dɤ,kˈuŋ tˈau,kun tˈau,kəʔ tu,tɕˈyɑn tˈou,dʑy dɤu,tsˈuan tˈəu,tʂˈuei tˈɤu,pfˈei tˈou tsɿ,kˈyn tˈɐu,do ɕin,tʂˈuɨ tˈɯ
ʂou tʂʅ tˈou,səu tsɿ mər,tsɿ tˈəu,sei tsɿ dei,ʂou tʂɿ tˈou,mu tʂɔ tˈɯ,ʂəu tʂʅ tˈəu,tʂʅ tˈou tsɿ,su tsɿ,tsɨʔ tˈɛu tsɿ,tʂʌʔ təu ʐʌʔ,sɤ tɕiɪʔ dɤ,tsˈiu tsõi,tsŋ̩ tˈau,səu tsəʔ tˈəu,sou tsɿ tˈou,ɕɤu tsɿ dʑy ŋ̩,səu tsɿ,ʂɤu tsɿ tˈɤu,ʂou tsɿ tˈou,sɐu tsi tˈɐu,ʂəɯ tʂʅ naɯ,ʂɯ tsɿ tˈɯ
tʂʅ tɕia,tsɿ tɕia,tsɿ tɕia,sei tsɿ kˈɑʔ əl,ʂou tʂʅ kar,tʂəʔ tɕiɐʔ kE,tʂʅ tɕiA,tʂʅ tɕia,su tsɿ kap,tsɨʔ kaʔ tsɿ,tsɿ tɕiʌʔ,sɤ tɕiɪʔ kˈaʔ,tsõi kaʔ,tsŋ kaʔ,tsəʔ tɕiaʔ,tsɿ kai tsə,tsɿ ka,tsɿ ka kˈuo,tsɿ tɕia,tsɿ tɕia,tsi kap,tʂʅ kɒ,tsɿ tɕia
po ləŋ kar,kˈe ɕi tˈər,kˈɛ ɕi tˈəu,ɕiəʔ kˈo dei,pɤ ləŋ kar,kˈɐʔ tɕˈiəʔ tˈɯ,kˈə ɕi tˈəu,pə ɕi kɛ tsɿ,tsˈit tˈeu hoŋ,kˈiɛʔ ɕiʔ tˈɛu tsɿ,kʌʔ ɕiʌʔ kˈuæ tsʌʔ,tɕiaʔ mø dɤ,kˈa tˈau u,kˈa tˈau hu,kəʔ ti kˈuei,po liŋ kar,tɕa kˈy dɤu,kˈɤ tɕˈi tˈəu,pɤ ɕi kɛr,kˈɯ tɕˈi kai,sɐt tˈɐu,ɕi dəɯ ku,pɔ ɕj kɛ
tˈuei,tˈuei kan,pa tˈuei,tɕiɑʔ pˈɑŋ,tˈuei,tˈe,tˈuei tu pɔ,tˈuei,kiok,tɕiɔʔ,tˈuæ,tɕiaʔ pˈɑ̃,kˈa,tˈui,tˈuei,tˈuei,tˈai,tˈei,tˈuei,tˈuei,kœk,tˈəi pɒ tsɿ,tˈuɨ
tiɛ,pa,pa pa,pɑ pɑ,pa,pɐʔ pɐʔ,tiɛ,tiə,a pa,pɑʔ,tiE,tia tia,a pa,hu tsˈin,lau tsəʔ,pɑ,a pa,fu tɕˈin,pa pa,pa,pa pa,tie tie,ta ta
niɑŋ,ma,ma,mɑ mɑ,ma,ma i,mA,ma,a me,m̩ mɑ,mɑŋ,m̩ ma,a nã,bu tsˈin,ma,mɑ,a ma,moŋ tɕˈin,ma,ma,ma ma,m̩ mɒ,m̩ ma
iɛ iɛ,ie ie,iɛ iɛ,tiɑ tiɑ,iɛ iɛ,te te,lɔ tiɛ,iə iə,a kuŋ,kuŋ kuŋ,iE iE,lɔ tia,a koŋ,a kɔŋ,ie ie,ie ie,a ji,tsəu fu,iɤ iɤ,iɛ,a jɛ,kən kən,i iɛ
nai nai,pˈo pˈo,tˈai tˈai,nE nE,nai,lE lE,næ,lɛ lɛ,a pˈo,pˈo pˈo,ȵiɑ ȵiɑ,n̩ na,a mã,a bã,nai nai,nai nai,ȵi ȵi,tsəu moŋ,nai nai,nai,a ma,ŋai dʑi,nɛ nɛ
ta iɛ,pe pe,pɛ pɜ,pɑʔ pɑʔ,ta iɛ,ta pɐʔ,tA tiɛ,ta ta,a pak,tˈai pɑʔ,tei iE,paʔ paʔ,a peʔ,a peʔ,ta ie,tɑ ie,pa pa,pɤ pɤ,pei pei,pei,pak fu,pɒ pɒ,ta ta
ta ma,pe ȵiaŋ,pɛ ma,dɑ mɑ mɑ,ta niaŋ,ta ta,tA mo,ma ma,pak me,tˈai mɑ,tɑi ȵiɑŋ,paʔ mu,a m,a m̩,ta niɒ̃,tɑ niɑŋ,a mo,pɤ moŋ,ta ma,ma ma,pak nœŋ,pɒ dʑi,ma ma
ʂur,pər,su su,ɕiɔ pɑʔ pɑʔ,ʂu,i,iɛ iɛ,pa pa,a suk,suʔ,lɔ lɔ,ɦia soʔ,a tsek,a tsik,suəʔ suəʔ,pai pai,a ɕɤy,səu səu,fu fu,pa,a suk,ʂəɯ ʂəɯ,pa pa
ʂər,sən sən,sen sen,sen niɑŋ,ʂər,ʂən tsə,ʂə̃ ʂə̃,ʂə̃n ʂən,suk me,sɨn tsɿ,ʂəŋ ʂəŋ,səŋ ȵiã,a sim,a tsim,səŋ səŋ,ʂər,a saŋ,səu moŋ,ʂɤŋ ʂɤŋ,niaŋ,a sɐm,ʂən dʑi,ʂə̃ tsɿ
lɑu iɛ,uai koŋ,koŋ koŋ,ɦuE koŋ,lau iɛ,uE te te,koŋ koŋ,vɛ iə,ŋoi a kuŋ,ŋɑ kuŋ,tɕiɑŋ iE,ŋa koŋ,gua koŋ,gua kɔŋ,lau ie,lɑu ie,a ji,uai tsəu fu,vai iɤ iɤ,iɛ,a kuŋ,uai kən,uɨ i
lɑu lɑu,uai pˈo,pˈo pˈo,ɦuE bo,laur,uE lE lE,pˈo pˈo,vɛ lɛ lɛ,ŋoi a pˈo,ŋɑ pˈo,pæ pæ,ŋa bu,guamã,gua bã,lau niɒ̃,lɑu lɑu,ȵi ȵi,uai tsəu moŋ,vai nai nai,nai,pˈɔ pˈɔ,uai bo,uɨ nɛ nɛ
tɕiou tɕiou,tɕiəu tɕiəu,tɕiəu tɕiəu,niɑŋ dʑiø,tɕiou,tɕiɯ tɕiɯ,tɕiəu tiɛ,a tɕiou,a kˈiu,mu tɕˈiu,tɕiəu tɕiəu,ȵiã dʑiɤ,a ku,a ku,tɕiəu tɕiəu,tɕiou tɕiou,dʑau dʑau,tɕiəu fu,tɕiɤu tɕiɤu,tɕiou,kˈɐu fu,dʑiəɯ iɒ,a tɕiɯ
tɕiou ma,tɕiəu mər,tɕiəu ma,dʑiø m̩,tɕiou mu,tɕiɯ mə,tɕiəu mA,tɕiou mu,kˈiu me,tɕˈiu mu,tɕiŋ tsʌʔ,dʑiɤ ma,a kim,a kim,tɕiəŋ tɕiəŋ,tɕiou mu,,tɕiəu moŋ,tɕiɤu mu,tɕiẽ tsɿ,kˈɐm mou,dʑiəɯ ȵian,tɕiɯ mv̩
nan ʐən,nau koŋ,lan zen,lɔ koŋ,tʂaŋ fu,lɔ tiəʔ mən,nÃ ʐə̃,lɛ̃n ʐə̃n,lau kuŋ,lɑu kuŋ,nɑŋ ʐəŋ,e ȵiŋ,aŋ,hu,lau xæ̃,tɑŋ tɕiɑ tie,lɜ koŋ,tsaŋ fu,nan ʐɤŋ,ny ɕi,lou kuŋ,ŋai in,nɔ mə̃ tsɿ ʐə̃
ɕi fər,nau pˈo,li lɛ,lɔ bo,lau pˈɤ,lE lE mən,pˈo niA,ȵy ʐə̃n,lau pˈo,lɑu pˈo,lɔ pei,e ȵiŋ,bou,tsˈe,lau pˈɤ,tɕiɑ li ti,lɜ jy,tɕˈi tsɿ,lɔ pˈɤ,ɕi fuər,lou pˈɔ,ŋai in,nɔ mə̃ tɕia l̩ tsɿ
ər tsɿ,ər,ə˞ tsɿ,əl tsɿ,ə˞ tsɿ,a tsə,ə tsɿ,ɯ tsɿ,lai ie,tsai,ɕiɔ tsʌʔ,ȵi tsɿ,kiã,kiã,ɕiau tsəʔ,ɘr tsə,ŋ̩,ɯ tsɿ,ə˞ tsɿ,ər,tsɐi,tsai,ɛ tsɿ
kuei ny,ȵyər,ku liaŋ,nɥ əl,ku niaŋ,ia tˈɯ,nuə,ku ȵiɑ̃,moi ie,ȵy,tɕy nzɥ,nø ŋ̩,tsau kiã,tsa bo kiã,kuei ny,kuən ny,na ŋ̩,ny ɯ,ȵy ə˞,ny,nøy,ȵy tsai dʑi,kv̩ ȵiɔ̃
tsɑu tʂˈɑŋ fan,tsau fan,ko tsao,tsɔ vẼ,tsau ʂaŋ fan,tsɔ fæ̃,tsɔ tiɛ̃,tsɔ fɛ̃n,sət tsau,tsɑu fan,tsɔ tɕˈi xuɑŋ,tsɔ ve,mẽ tsa,tsa tŋ̩,tsau tɕˈiəŋ fæ̃,tian ɕin,tˈi kuɔ dzɿ,kuo tsau,kan tsɔ fan,kã tsau fã,tsou tsˈan,tsaɯ ɸan,tsɔ fã
ʂɑŋ u fan,u fan,tsoŋ u fan,tsoŋ vẼ,ʂaŋ u fan,tʂəŋ fæ̃,tsɔ fÃ,ʂɑ̃ vu,sət tsu,tsuŋ fan,suə u xuɑŋ,tsoŋ  ve,zik tau,tioŋ tau tŋ̩,sɒ̃ vu fæ̃,tsɑu fan,ne tɕɤu dzɿ,tsoŋ fan,tʂuŋ vu fan,ʂaŋ u fã,ŋ tsˈan,tʂən u ɸan,v̩ fã
uan fan,uan fan,uan fan,ɦi vẼ,uan ʂaŋ fan,uæ̃ fæ̃,uÃ fÃ,xə fɛ̃n,sət ia,iɑ fan,xʌʔ tɕiɑŋ xuɑŋ,ɦia  ve,mẽ am,am tŋ̩,xəʔ ie fæ̃,van fan,ɦa ɕy dzɿ,uan fan,ɕia vu fan,xei liɛ fã,man tsˈan,iɒ ɸan,xɨ  fã
mian tˈiɑur,mian,mian,miẼ,mian tˈiaur,miɪ̃ tˈiɔ,miɛ̃,miɛ̃n tˈiɔ tsɿ,mien,miɛn,kɑŋ miE,mi,mĩ,bĩ,mie,mian tˈiɑur,mi,miɛn,mian tˈiɔr,miã,min,miẽ,miã
man tˈou,man tˈəu,man tˈəu,muõ dei,man tˈou,ta mʊ,mÃ tˈəu,mə mə,man tˈeu,mo mo,mei mei,mø dɤ,maŋ tˈau,ban tˈo,mɤ mɤ,man tˈou,zai saŋ puɔ,man tˈəu,mɤ mɤ,tʂəŋ mo,man tˈɐu,momo,mɔ mɔ
pɑu tsɿ,pau tsɿ,pao tsɿ,muõ dei,pau tsɿ,pɔ tsə,pɔ tsɿ,pɔ tsɿ,pau ve,pɑu tsɿ,pɔ ʐʌʔ,mø dɤ,pau,pau a,pau tsəʔ,pɑu tsə,mø dɤu,pau tsɿ,pɔ tsɿ,pau tsɿ,pau,paɯ tsɿ,pɔ tsɿ
xun tˈun,tsˈau səu,kˈuen tˈen,ɦun den,xuən tuən,tɕiɔ tsə,tɕiɔ,xũn tˈũn,kiau ve,tɕˈin tˈɔŋ,xuŋ tuŋ,ɦuəŋ dəŋ,kiau,pien sip,xuəŋ tuəŋ,xuən tˈuən,vaŋ daŋ,xuən tən,xuŋ tˈuŋ,xuẽ tˈuẽ,wɐn tˈɐn,ɸən tən,xuə̃ tuə̃
tsˈu,tsˈu,tsˈu,tsˈu,tɕi xuei,tsˈu,suÃ tsˈu,tsˈu,son tsˈɿ,ɕiɛu tɕiu,tsˈəu,tsˈu,tsˈou,tsˈo,tsˈu,tsˈu,tsˈøy,tsˈəu,tsˈu,tsˈu,tsˈou,tsˈəɯ,tɕˈy
tɕiɑŋ iou,tɕiaŋ iəu,tɕiaŋ iəu,tɕiɑŋ ɦiø,tɕˈiŋ tɕiaŋ,tɕiɑ̃ iɯ,tɕˈĩ tɕiÃ,tɕˈĩn tɕiɑ̃,pˈak mi,tɕiɔŋ iu,tɕiɑŋ iəu,tɕiã ɦiɤ,si iu,tau iu,tɕiɒ̃ iəu,tɕˈiŋ tɕiɑŋ,tɕi jau,tɕiaŋ iəu,tɕˈiŋ tɕiɑŋ,tɕiaŋ iou,si jɐu,tsian iəɯ,tɕiɔ̃ iɯ
ian,ian,ian pa,ɦiẼ,ɕian ian,iɪ̃,iɛ̃ pA,iɛ̃n,iam,iɛn,ɕiɑŋ iE,ɦi,iam,iam,ɕie ie,ian,ji,iɛn,tɕˈiŋ tɕiɑŋɕian ian,iã,jim,iẽ,iã
