beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
ʐɤ,ze,zɛ,zɥəʔ,ʐɤ,ʐɐʔ,ʐə,ʐə,ŋiat,ʐʌʔ,nøɲiɪ,zuaʔ,luaʔ,zaʔ,iɤ,ɲi,nɤ,ʐɤ,ʐɤ,jit,ie,ʐɛ
ɕiɑŋ,ɕiaŋ,ɕiaŋ,ɕiɑŋ,ɕiaŋ,ɕiɑ̃,ɕiÃ,ɕiɑ̃,hioŋ,ɕiɑŋ,ɕiã,pʰaŋ,pʰaŋ,ɕiɒ̃,ɕiɑŋ,ɕi,ɕiaŋ,ɕiɑŋ,ɕiaŋ,hœŋ,sian,ɕiɔ̃
tʂʰou,t͡sʰəu,t͡sʰəu,t͡sʰei,tʂʰou,tʂʰɯ,tʂʰəu,tʂʰou,t͡sʰu,tʂʰəu,t͡sʰɤ,t͡sʰau,t͡sʰau,t͡sʰəu,t͡sʰou,t͡ɕʰɤu,t͡sʰəu,tʂʰɤu,tʂʰou,t͡sʰɐu,tʂʰəɯ,tʂʰɯ
t͡sʰu,t͡sʰu,t͡sʰu,t͡sʰu,t͡sʰu,t͡sʰu,t͡sʰu,t͡sʰu,t͡sʰɹ̩,t͡sʰəu,t͡sʰu,,t͡sʰɔ,t͡sʰu,t͡sʰu,t͡ɕʰøy,t͡sʰəu,t͡sʰu,t͡sʰu,t͡sʰou,t͡sʰəɯ,t͡ɕʰy
ɕi,ɕi,ɕi,ɕi,ɕi,sɹ̩,ɕi,ɕi,iu,sei,ɕi,,iu,ɕi,ɕi,sei,ɕi,ɕi,ɕi,sɐi,si,ɕj
tʂʰɑŋ,t͡sʰaŋ,t͡sʰaŋ,dzɑŋ,tʂʰaŋ,tʂʰɑ̃,tʂʰÃ,tʂʰɑ̃,t͡sʰoŋ,tʂʰɑŋ,zɑ̃,tɯŋ,tŋ̩,t͡sʰɒ̃,t͡sʰɑŋ,dʑi,t͡sʰaŋ,tʂʰɑŋ,tʂʰaŋ,t͡sʰœŋ,dʐɔn,tʂʰɔ̃
tuan,tuan,tuan,tuõ,tuan,tʊ̃,tuÃ,tuɛ̃n,ton,tʰuɑŋ,tø,to,te,tuæ̃,tuan,tø,tan,tuan,tuã,tyn,tɔn,tuã
t͡sɑŋ,t͡saŋ,latʰa,foŋ,maitʰai,t͡sɑ̃,t͡sÃ,t͡sɑ̃,me,ʐʌʔt͡sɑŋ,oʔt͡sʰoʔ,t͡sʰiĩ,hiɔŋ,zəʔt͡sɒ̃,t͡sɑŋ,ɜt͡sɜ,t͡saŋ,t͡sɑŋ,t͡saŋ,wut͡sou,nɒtʰɒ,t͡sɔ̃
kant͡ɕiŋ,kant͡ɕin,kant͡ɕin,kɤ̃dʑin,kant͡ɕiŋ,t͡ɕʰinliɑ̃,kÃt͡ɕĩ,kɛ̃nt͡ɕĩn,t͡sʰiaŋ,kɑŋt͡ɕiŋ,t͡ɕʰiŋsɑ̃,t͡sʰeŋkʰi,t͡sʰiŋkʰi,kæ̃t͡ɕiəŋ,kant͡ɕiŋ,liɛdzei,kant͡ɕin,kant͡ɕiŋ,kãt͡ɕiŋ,kɔnt͡sɛŋ,soni,kãt͡ɕiə̃
pʰiani,ɕiaŋin,pʰiani,biɤ̃ɲi,pʰiani,t͡ɕʰiɔ,ɕiÃĩ,pʰiɛ̃ni,pʰienŋin,pʰiɤi,dʑiã,pʰĩ,pieni,t͡ɕie,pʰiani,biji,pʰiɛni,pʰiani,pʰiãi,pʰɛŋ,biẽɲi,pʰiãi
kɑŋ,t͡sʰai,t͡ɕiaŋt͡sʰai,kɑŋkɑŋ,kaŋ,t͡sʰɤ,t͡sʰæt͡ɕiÃ,t͡ɕiɑ̃ɯ,koŋkoŋ,sɑ,kɑ̃kɑ̃,tãt͡siã,tua,t͡ɕiɒ̃,kɑŋ,saŋ,kaŋ,kɑŋ,kaŋ,ŋam,dzai,t͡ɕiɔ̃
kɑŋ,t͡sʰən,t͡ɕiaŋt͡ɕiaŋlɛ,kɑŋkɑŋ,tʂəŋ,tʂən,t͡ɕiÃt͡ɕiÃ,t͡ɕiɑ̃,koŋ,t͡ɕiɑŋ,kɑ̃hɔ,ŋamŋam,tutu,t͡ɕiɒ̃t͡ɕiɒ̃,t͡səŋ,t͡seŋhɜ,kʰakʰa,kɑŋxɔr,kaŋ,ŋam,tʂən,t͡ɕiɔ̃
tʂəŋxaur,t͡ɕʰiat͡ɕʰia,t͡sentueitʰəu,kɑŋhɔ,tʂəŋxaur,t͡ɕiɑ̃xʊ,kÃxɔ,tʂə̃nxɔɯ,t͡saŋhau,tʂɻ̩xɔxɔ,kɑ̃t͡səŋhɔ,ŋamŋam,tutuho,t͡səŋxauxau,t͡səŋxɑur,t͡seŋhɜ,kaŋxau,kɑŋxɔr,kaŋxaur,ŋamŋamhou,tʂənhaɯ,t͡ɕiɔ̃kʰama
xɤ,xo,xo,tɑʔ,xɤ,kən,æ,liɛ̃n,tʰuŋ,xu,taʔ,kaʔ,kaʔ,xuɤ,kən,kʰuɔ,xuo,xɤ,kẽ,tʰuŋ,ɦo,kə̃
tʂɻ̩,t͡sɹ̩,t͡sɹ̩,t͡səʔ,tʂɻ̩,tʂəʔ,tʂɻ̩,kuɑ̃,t͡sak,t͡sʰɑŋ,t͡səʔ,t͡sʰeŋ,t͡si,kuɒ̃,t͡sɹ̩,t͡sɹ̩,t͡sɹ̩,t͡sɹ̩,kuaŋ,t͡si,t͡sɹ̩,t͡ɕiɯ
t͡sʰuŋ,t͡sʰoŋ,t͡ɕʰi,dzoŋ,t͡sʰuŋ,t͡sʰəŋ,t͡sʰoŋ,kə̃n,t͡sʰiuŋ,t͡sʰuŋ,zoŋ,taŋ,tui,t͡sʰuəŋ,t͡sʰuŋ,juɔ,t͡sʰoŋ,t͡sʰuŋ,iou,t͡sʰuŋ,dzən,t͡sʰuə̃
tʰi,paŋ,tʰi,pɑʔ,tʰi,pɑ̃,æ,kɯ,tʰi,tʰi,de,kaʔ,tʰe,tʰi,tʰi,de,tʰi,tʰi,tʰi,pɔŋ,ke,tɛ
na,na,la,do,na,la,nA,la,na,xei,ne,kʰioʔ,tʰeʔ,na,nɑ,jyɔ,na,na,na,lɔ,nɒ,tɛ
kui,nipian,pai,dəʔɦui,t͡ɕiŋiər,kuzɹ̩,pAi,kui,kui,t͡suɑŋikuʐʌʔ,ɦiɤi,t͡suaŋ,kɔi,t͡suæ̃i,t͡sʰəŋɕin,kuji,kui,kui,kuiər,tɐktɐŋ,t͡ɕinuəi,tikv̩iɛ
i,i,i,ʔiəʔ,i,iəʔ,i,i,it,iʌʔ,iɪʔ,t͡sek,t͡sit,iəʔ,i,jai,i,i,i,jɐt,i,j
ər,ər,ə˞,əl,ə˞,a,ə,ɯ,ŋi,ər,ɲi,nõ,lŋ̩,ər,ər,ŋ̩,ɯ,ə˞,ər,ji,e,ɛ
san,san,san,sɤ̃,san,sæ̃,sÃ,sɛ̃n,sam,sɑŋ,se,sã,sã,sæ̃,san,sa,san,san,sã,sam,san,sã
sɹ̩,sɹ̩,sɹ̩,sɹ̩,sɹ̩,sɹ̩,sɹ̩,sɹ̩,si,sɹ̩,sɹ̩,si,si,sɹ̩,sɹ̩,sɹ̩,sɹ̩,sɹ̩,sɹ̩,sei,sɹ̩,sɹ̩
u,u,u,ʔu,u,u,u,vu,n̩,u,ŋ̩,ŋõu,gɔ,vu,u,ŋ̩,u,vu,u,ŋ,u,v̩
liou,nu,lu,loʔ,liou,ləʔ,lu,liou,liuk,liəu,loʔ,lak,lak,liəu,liou,lɤu,nəu,liɤu,liou,luk,nəɯ,liɯ
t͡ɕʰi,t͡ɕʰi,t͡ɕʰi,t͡ɕʰiəʔ,t͡ɕʰi,t͡ɕʰiəʔ,t͡ɕʰi,t͡ɕʰi,t͡sʰit,t͡ɕʰiʌʔ,t͡ɕʰiɪʔ,t͡sʰik,t͡sʰit,t͡ɕʰiəʔ,t͡ɕʰi,t͡sʰai,t͡ɕʰi,t͡ɕʰi,t͡ɕʰi,t͡sʰɐt,t͡sʰi,t͡ɕʰj
pa,pa,pa,pɑʔ,pa,pɐʔ,pA,pa,pat,pʌʔ,paʔ,poiʔ,peʔ,paʔ,pɑ,po,pa,pa,pa,pat,pɒ,pa
t͡ɕiou,t͡ɕiəu,t͡ɕiəu,t͡ɕiø,t͡ɕiou,t͡ɕiɯ,t͡ɕiəu,t͡ɕiou,kiu,t͡ɕiəu,t͡ɕiɤ,kau,kau,t͡ɕiəu,t͡ɕiou,t͡ɕau,t͡ɕiəu,t͡ɕiɤu,t͡ɕiou,kɐu,t͡ɕiəɯ,t͡ɕiɯ
ʂɻ̩,sɹ̩,sɹ̩,zəʔ,ʂɻ̩,ʂəʔ,ʂɻ̩,ʂɻ̩,səp,ʂʌʔ,zəʔ,t͡sap,t͡sap,səʔ,ʂɻ̩,zai,sɹ̩,ʂɻ̩,ʂɻ̩,sɐp,ʂɻ̩,ʂɻ̩
ʂɻ̩i,sɹ̩i,sɹ̩i,zəʔʔiəʔ,ʂɻ̩i,ʂəʔiəʔ,ʂɻ̩i,ʂɻ̩i,səpit,ʂʌʔiʌʔ,zəʔiɪʔ,t͡sapik,t͡sapit,səʔiəʔ,ʂɻ̩i,zaijai,sɹ̩i,ʂɻ̩i,ʂɻ̩i,sɐpjɐt,ʂɻ̩i,ʂɻ̩j
