beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
nɑutut͡sɹ̩,natut͡sɹ̩,tupʰipuxao,dubidzɑ,nautut͡sɹ̩,pʰɔsɹ̩,ɕiɛtut͡sɹ̩,pʰɔtutʂəli,olitu,ɕiɑtʰu,pʰɔmɔt͡sʌʔ,dubiza,lausai,lausai,t͡sʰuæ̃ɕi,nɑutut͡sɹ̩,seidøy,ɕietəut͡sɹ̩,latut͡sɹ̩,pʰauxou,tʰouɔ,təɯt͡sɹ̩o,latv̩t͡sɹ̩
t͡ɕʰyɛt͡sɹ̩,pait͡sɹ̩,pait͡sɹ̩,t͡ɕʰiɔkuɤəl,t͡ɕʰyɛt͡sɹ̩,t͡ɕʰyɐʔt͡sə,pæpæ,t͡ɕʰyət͡sɹ̩,paikioke,kuait͡sɹ̩,kuæt͡sʌʔ,t͡ɕʰiɔt͡ɕiaʔ,kuaikʰa,paikʰa,kuait͡səʔ,t͡ɕʰyet͡sə,pʰit͡ɕa,pot͡sɹ̩,t͡ɕʰyɤt͡sɹ̩,pot͡sɹ̩,pɐikœklou,pait͡sɹ̩,t͡ɕʰyut͡sɹ̩
luokuor,tʰot͡sɹ̩,tʰot͡sɹ̩,dopeilɔəl,luokuor,tʰʊt͡sə,peiko,peikuət͡sɹ̩,tʰopoiie,tʰot͡sɹ̩,pækueikuei,dut͡sɹ̩,ioku,kʰiauku,peikuɤkuɤ,luokuor,haupai,tʰuot͡sɹ̩,luɤkuɤt͡sɹ̩,peikuot͡sɹ̩,tʰɔpui,dot͡sɹ̩,pɨlɔkuɛ
kɤrlə,sɹ̩no,sɹ̩əu,sɹ̩liɔtə,sɹ̩lə,pəʔt͡sɤlə,put͡sælə,sɹ̩lɔ,sipʰetle,sɹ̩pɨʔlɛu,mɑliɑ,ɕitʰəʔləʔ,sikʰɯ,sia,sɹ̩lie,sɹ̩lə,sɹ̩ɦuɔ,sɹ̩niau,sɹ̩liɤ,sɹ̩liɛ,seit͡sɔ,naɯtɒ,mɔtiɔliɔ
t͡ɕʰiɑupiŋ,kʰanpin,kʰanpin,kʰɤ̃mɔbin,kʰanpiŋ,t͡ɕʰiɔpin,t͡ɕʰiɔpĩ,kʰɛ̃npĩn,kʰonpʰiaŋ,kʰɵnpʰiɑŋ,liɔpi,kʰøisã,tʰõiuiseŋ,kʰuãpĩ,kæ̃piəŋ,kʰanpiŋ,t͡sʰɹ̩beŋ,kʰanpin,kʰanpiŋ,kʰãpiŋ,tɐipɛŋ,kʰanbian,kʰãpiə̃
uo,ŋo,ŋo,ŋo,uo,ʊ,o,və,ŋai,ŋo,ŋiɤ,ŋu,ua,gua,ɣɤ,uo,ŋ̩,ŋuo,vɤ,ŋɤ,ŋɔ,ŋo,nɔ
ni,ɲi,li,ni,ni,li,ni,ɲi,n̩,n̩,n̩,noŋ,lɯ,li,ni,ni,ɲi,ni,ɲi,ni,nei,ni,ɲi
tʰa,tʰa,la,tʰɑ,tʰa,tʰa,tʰA,tʰa,ki,t͡ɕie,uʌʔt͡ɕiɑ,ɦi,i,i,tʰa,tʰɑ,gi,tʰa,tʰa,tʰa,kʰøy,tʰɒ,tʰa
uom,ŋomən,ŋomen,ŋomen,uomən,ʊmən,omə̃,vəmə̃n,ŋaitenŋin,ŋomɨn,ŋɑ,aʔla,uaŋ,gun,ɣɤməʔ,uomən,ŋ̩le,ŋuomən,vɤmɤŋ,ŋai,ŋɔtei,ŋoin,nɔmə̃
nim,ɲimən,limen,nimen,nimən,limən,nimə̃,ɲimə̃n,n̩tenŋin,n̩mɨn,ɲiɤ,na,niŋ,lin,niməʔ,nimən,ɲile,nimən,ɲimɤŋ,ni,neitei,ɲiin,ɲimə̃
tʰam,tʰamən,lamen,tʰɑmen,tʰamən,tʰamən,tʰAmə̃,tʰamə̃n,kitenŋin,t͡ɕiemɨn,uʌʔt͡ɕiɑmiɑ,ɦila,inaŋ,in,tʰaməʔ,tʰɑmən,gile,tʰamən,tʰamɤŋ,tʰati,kʰøytei,tʰɒin,t͡ɕiamə̃
t͡sam,ŋomən,ŋomen,ŋomendɑt͡ɕiɑ,t͡sanmən,ʊmən,omə̃,vəmə̃n,ŋaitenŋin,ŋomɨn,t͡sʌʔməŋ,aʔla,naŋ,lan,t͡saməʔ,t͡sanmən,ŋuɔɲi,ŋuomən,t͡samɤŋ,t͡sai,ŋɔtei,ŋoin,nɔmə̃
t͡sɹ̩kɤr,kozən,t͡sɹ̩t͡ɕi,dzɹ̩t͡ɕiɑ,t͡sɹ̩t͡ɕi,t͡sɹ̩t͡sɹ̩,t͡sɹ̩t͡ɕi,kət͡ɕia,t͡sʰɹ̩ka,t͡sʰɹ̩kan,t͡sɹ̩t͡ɕiɑ,zɹ̩ka,kaki,kaki,t͡sɹ̩t͡ɕia,t͡sɹ̩kɤr,zɹ̩,t͡sɹ̩t͡ɕi,kɤʐɤŋ,t͡sɹ̩kɤr,t͡sikei,dzɹ̩kɒ,kut͡ɕia
ʂei,nako,lako,nɑkoʔ,ʂei,xakə,nAkə,fei,manŋin,lɑko,suei,saɲiŋ,titiaŋ,siã,suei,sei,ɲinaŋ,nakuo,sei,sei,pinkɔ,nɒko,fɨ
ʂəm,sat͡sɹ̩,laŋt͡sɹ̩,sɑɕi,ʂa,xəŋkə,nAiÃ,sa,makke,sɨʔli,ʂəŋ,sa,mĩʔkai,siãbĩʔ,səŋ,mɑ,gaɲi,mosɹ̩,sa,sa,mɐt,ʂənmo,sa
